q_w,q_x,q_y,q_z,t,c
-0.570347,0.34255,-0.395898,0.633034,1555155704939068,0
-0.570347,0.34255,-0.395898,0.633034,1555155704940377,0
-0.570347,0.34255,-0.395898,0.633034,1555155704941699,0
-0.570347,0.34255,-0.395898,0.633034,1555155704943039,0
-0.570347,0.34255,-0.395898,0.633034,1555155704944408,0
-0.570408,0.342489,-0.395776,0.633095,1555155704945665,0
-0.570408,0.342489,-0.395776,0.633095,1555155704947079,0
-0.570408,0.342489,-0.395776,0.633095,1555155704948344,0
-0.570408,0.342489,-0.395776,0.633095,1555155704949658,0
-0.570469,0.342428,-0.395593,0.633217,1555155704951021,0
-0.570469,0.342428,-0.395593,0.633217,1555155704952324,0
-0.570469,0.342428,-0.395593,0.633217,1555155704953661,0
-0.570469,0.342428,-0.395593,0.633217,1555155704955012,0
-0.570469,0.342428,-0.395593,0.633217,1555155704956314,0
-0.570469,0.342367,-0.395471,0.633339,1555155704957661,0
-0.570469,0.342367,-0.395471,0.633339,1555155704958975,0
-0.570469,0.342367,-0.395471,0.633339,1555155704960295,0
-0.570469,0.342367,-0.395471,0.633339,1555155704961627,0
-0.570469,0.342367,-0.395471,0.633339,1555155704962947,0
-0.57053,0.342245,-0.39541,0.6334,1555155704964264,0
-0.57053,0.342245,-0.39541,0.6334,1555155704965579,0
-0.57053,0.342245,-0.39541,0.6334,1555155704966936,0
-0.57053,0.342245,-0.39541,0.6334,1555155704968263,0
-0.570469,0.342184,-0.395349,0.633523,1555155704969600,0
-0.570469,0.342184,-0.395349,0.633523,1555155704970905,0
-0.570469,0.342184,-0.395349,0.633523,1555155704972270,0
-0.570469,0.342184,-0.395349,0.633523,1555155704973555,0
-0.570469,0.342184,-0.395349,0.633523,1555155704974870,0
-0.570469,0.342001,-0.39541,0.633584,1555155704976216,0
-0.570469,0.342001,-0.39541,0.633584,1555155704977544,0
-0.570469,0.342001,-0.39541,0.633584,1555155704978892,0
-0.570469,0.342001,-0.39541,0.633584,1555155704980173,0
-0.570469,0.342001,-0.39541,0.633584,1555155704981501,0
-0.570469,0.342001,-0.39541,0.633584,1555155704982873,0
-0.570408,0.34194,-0.395349,0.633645,1555155704984142,0
-0.570408,0.34194,-0.395349,0.633645,1555155704985507,0
-0.570408,0.34194,-0.395349,0.633645,1555155704986803,0
-0.570958,0.340963,-0.394006,0.634499,1555155705139424,1
-0.570958,0.340963,-0.394006,0.634499,1555155705140759,1
-0.570958,0.340963,-0.394006,0.634499,1555155705142089,1
-0.570958,0.340963,-0.394006,0.634499,1555155705143425,1
-0.570958,0.340963,-0.394006,0.634499,1555155705144752,1
-0.571019,0.340902,-0.393884,0.63456,1555155705146087,1
-0.571019,0.340902,-0.393884,0.63456,1555155705147498,1
-0.571019,0.340902,-0.393884,0.63456,1555155705148775,1
-0.571019,0.340902,-0.393884,0.63456,1555155705150072,1
-0.571019,0.340902,-0.393884,0.63456,1555155705151386,1
-0.571019,0.340902,-0.393884,0.63456,1555155705152739,1
-0.57108,0.34078,-0.393823,0.634621,1555155705154045,1
-0.57108,0.34078,-0.393823,0.634621,1555155705155380,1
-0.57108,0.34078,-0.393823,0.634621,1555155705156697,1
-0.57108,0.34078,-0.393823,0.634621,1555155705158026,1
-0.57108,0.34078,-0.393823,0.634621,1555155705159346,1
-0.57108,0.34078,-0.393762,0.634682,1555155705160703,1
-0.57108,0.34078,-0.393762,0.634682,1555155705162005,1
-0.57108,0.34078,-0.393762,0.634682,1555155705163324,1
-0.57108,0.34078,-0.393762,0.634682,1555155705164653,1
-0.57108,0.34078,-0.393762,0.634682,1555155705165996,1
-0.57108,0.340719,-0.393701,0.634743,1555155705167307,1
-0.57108,0.340719,-0.393701,0.634743,1555155705168651,1
-0.57108,0.340719,-0.393701,0.634743,1555155705169952,1
-0.57108,0.340719,-0.393701,0.634743,1555155705171300,1
-0.57108,0.340719,-0.393579,0.634804,1555155705172641,1
-0.57108,0.340719,-0.393579,0.634804,1555155705173942,1
-0.57108,0.340719,-0.393579,0.634804,1555155705175265,1
-0.57108,0.340719,-0.393579,0.634804,1555155705176581,1
-0.57108,0.340719,-0.393579,0.634804,1555155705177925,1
-0.571141,0.340597,-0.393518,0.634865,1555155705179263,1
-0.571141,0.340597,-0.393518,0.634865,1555155705180592,1
-0.571141,0.340597,-0.393518,0.634865,1555155705181916,1
-0.571141,0.340597,-0.393518,0.634865,1555155705183250,1
-0.571141,0.340597,-0.393518,0.634865,1555155705184574,1
-0.57108,0.340597,-0.393457,0.634987,1555155705185890,1
-0.57108,0.340597,-0.393457,0.634987,1555155705187209,1
-0.571141,0.340109,-0.392724,0.635598,1555155705339842,2
-0.571141,0.340109,-0.392663,0.635659,1555155705341202,2
-0.571141,0.340109,-0.392663,0.635659,1555155705342504,2
-0.571141,0.340109,-0.392663,0.635659,1555155705343808,2
-0.571141,0.340109,-0.392663,0.635659,1555155705345153,2
-0.571141,0.340048,-0.392602,0.635659,1555155705346468,2
-0.571141,0.340048,-0.392602,0.635659,1555155705347825,2
-0.571141,0.340048,-0.392602,0.635659,1555155705349164,2
-0.571141,0.340048,-0.392602,0.635659,1555155705350443,2
-0.571141,0.340048,-0.392602,0.635659,1555155705351770,2
-0.571141,0.340048,-0.392602,0.635659,1555155705353118,2
-0.571202,0.340048,-0.392602,0.635659,1555155705354441,2
-0.571202,0.340048,-0.392602,0.635659,1555155705355751,2
-0.571202,0.340048,-0.392602,0.635659,1555155705357106,2
-0.571202,0.340048,-0.392602,0.635659,1555155705358407,2
-0.571202,0.340048,-0.392602,0.635659,1555155705359804,2
-0.571202,0.340048,-0.392602,0.635659,1555155705361090,2
-0.571202,0.340048,-0.392663,0.635659,1555155705362404,2
-0.571202,0.340048,-0.392663,0.635659,1555155705363724,2
-0.571202,0.340048,-0.392663,0.635659,1555155705365034,2
-0.571202,0.340048,-0.392663,0.635659,1555155705366421,2
-0.571141,0.340048,-0.392541,0.63572,1555155705367687,2
-0.571141,0.340048,-0.392541,0.63572,1555155705369025,2
-0.571141,0.340048,-0.392541,0.63572,1555155705370376,2
-0.571141,0.340048,-0.392541,0.63572,1555155705371708,2
-0.571141,0.340048,-0.392541,0.63572,1555155705373036,2
-0.571263,0.339926,-0.39248,0.635781,1555155705374337,2
-0.571263,0.339926,-0.39248,0.635781,1555155705375662,2
-0.571263,0.339926,-0.39248,0.635781,1555155705377011,2
-0.571263,0.339926,-0.39248,0.635781,1555155705378332,2
-0.571263,0.339926,-0.39248,0.635781,1555155705379684,2
-0.571202,0.339926,-0.39248,0.635842,1555155705380977,2
-0.571202,0.339926,-0.39248,0.635842,1555155705382309,2
-0.571202,0.339926,-0.39248,0.635842,1555155705383655,2
-0.571202,0.339926,-0.39248,0.635842,1555155705384963,2
-0.571202,0.339926,-0.39248,0.635842,1555155705386282,2
-0.571263,0.339803,-0.392419,0.635842,1555155705387614,2
-0.571385,0.339376,-0.391625,0.636452,1555155705540244,3
-0.571385,0.339376,-0.391625,0.636452,1555155705541545,3
-0.571385,0.339376,-0.391625,0.636452,1555155705542899,3
