angv_x,angv_y,angv_z,lina_x,lina_y,lina_z
1.8125,0.4375,-0.625,0,-0.26,0.03
1.8125,0.4375,-0.625,-0.08,0.09,-0.02
1.8125,0.4375,-0.625,-0.08,0.09,-0.02
1.9375,-0.5625,-0.4375,-0.08,0.09,-0.02
1.9375,-0.5625,-0.4375,-0.08,0.09,-0.02
1.9375,-0.5625,-0.4375,-0.09,-0.12,0
1.9375,-0.5625,-0.4375,-0.09,-0.12,0
1.9375,-0.5625,-0.4375,-0.09,-0.12,0
2.4375,-0.625,-0.625,-0.09,-0.12,0
2.4375,-0.625,-0.625,0.17,0.31,0.12
2.4375,-0.625,-0.625,0.17,0.31,0.12
2.4375,-0.625,-0.625,0.17,0.31,0.12
2.4375,-0.625,-0.625,0.17,0.31,0.12
1.875,-0.5,-1.1875,0.17,0.31,0.12
1.875,-0.5,-1.1875,-0.06,-0.01,0
1.875,-0.5,-1.1875,-0.06,-0.01,0
1.875,-0.5,-1.1875,-0.06,-0.01,0
1.875,0.625,0.25,-0.06,-0.01,0
1.875,0.625,0.25,-0.06,-0.01,0
1.875,0.625,0.25,0,0.22,-0.03
1.875,0.625,0.25,0,0.22,-0.03
0.8125,1.25,-0.875,0,0.22,-0.03
0.8125,1.25,-0.875,0,0.22,-0.03
0.8125,1.25,-0.875,-0.07,-0.08,0
0.8125,1.25,-0.875,-0.07,-0.08,0
0.8125,1.25,-0.875,-0.07,-0.08,0
1.3125,1.4375,0.625,-0.07,-0.08,0
1.3125,1.4375,0.625,-0.07,-0.08,0
1.3125,1.4375,0.625,-0.07,-0.08,0
1.3125,1.4375,0.625,-0.01,0.1,0
1.3125,1.4375,0.625,-0.01,0.1,0
1.3125,1.4375,0.625,-0.01,0.1,0
1.0625,0.9375,-0.75,-0.01,0.1,0
1.0625,0.9375,-0.75,-0.01,0.1,0
1.0625,0.9375,-0.75,-0.17,0.05,-0.04
1.0625,0.9375,-0.75,-0.17,0.05,-0.04
1.0625,0.9375,-0.75,-0.17,0.05,-0.04
1.25,0.3125,-0.9375,0.02,0.14,0
